Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS,GS
Date,,,,,,
2000-01-03,61.993743896484375,88.3125,94.375,87.75,94.1875,1822600
2000-01-04,58.08900833129883,82.75,87.5,82.25,87.0,1647700
2000-01-05,55.368804931640625,78.875,81.875,78.375,80.875,1516600
2000-01-06,57.737979888916016,82.25,84.5,78.625,78.625,1845100
2000-01-07,57.95737838745117,82.5625,83.1875,79.875,83.0625,1127400
2000-01-10,59.22969436645508,84.375,84.875,81.75,81.75,803100
2000-01-11,59.53679275512695,84.8125,86.25,84.5625,85.0,808600
2000-01-12,59.22969436645508,84.375,86.0,83.375,84.125,916100
2000-01-13,59.317466735839844,84.5,85.125,82.875,85.125,711000
2000-01-14,60.107181549072266,85.625,86.9375,85.3125,85.5,607000
2000-01-18,60.98464584350586,86.875,89.125,84.75,85.0,1095700
2000-01-19,61.467262268066406,87.5625,89.375,86.75,86.875,636900
2000-01-20,60.409305572509766,85.9375,87.9375,84.875,87.0,621800
2000-01-21,60.23362731933594,85.6875,86.1875,84.5625,86.1875,542500
2000-01-24,57.46575927734375,81.75,87.5,81.5,87.5,712900
2000-01-25,58.95949935913086,83.875,84.1875,82.375,83.0,749300
2000-01-26,62.034912109375,88.25,88.5,84.125,84.125,1086600
2000-01-27,62.56211471557617,89.0,89.9375,87.625,88.25,702000
2000-01-28,61.15621566772461,87.0,88.0,86.125,87.5,776800
2000-01-31,64.40734100341797,91.625,91.6875,86.5,87.0,801800
2000-02-01,64.14371490478516,91.25,93.0,90.5,92.875,813100
2000-02-02,64.05587005615234,91.125,91.625,88.625,90.75,964700
2000-02-03,60.01394271850586,85.375,91.125,84.8125,90.0,2213300
2000-02-04,59.530635833740234,84.6875,87.25,83.5625,87.25,1451700
2000-02-07,60.27753448486328,85.75,86.5,83.5,84.4375,929800
2000-02-08,62.86965560913086,89.4375,89.625,85.75,85.75,1024800
2000-02-09,60.98048400878906,86.75,89.4375,86.5625,89.4375,397100
2000-02-10,60.89262390136719,86.625,87.3125,85.5,86.75,503200
2000-02-11,59.838172912597656,85.125,88.75,85.0,86.4375,856900
2000-02-14,60.80474090576172,86.5,86.875,84.625,85.125,627800
2000-02-15,60.80474090576172,86.5,86.625,85.125,86.25,542400
2000-02-16,58.30050277709961,82.9375,87.3125,82.875,86.75,720300
2000-02-17,57.72935485839844,82.125,84.75,81.125,84.75,895500
2000-02-18,56.8067512512207,80.8125,84.5,80.75,84.5,925500
2000-02-22,57.33394241333008,81.5625,82.375,80.6875,81.25,720100
2000-02-23,60.27753448486328,85.75,87.0,81.0625,81.3125,702900
2000-02-24,63.0014533996582,89.625,89.9375,85.5,85.8125,1199800
2000-02-25,62.737823486328125,89.25,94.0,88.25,89.4375,1333000
2000-02-28,61.85919952392578,88.0,89.25,87.0,89.25,518000
2000-02-29,65.02241516113281,92.5,92.5,88.0,88.75,1381200
2000-03-01,66.60404968261719,94.75,96.75,93.1875,93.25,1488900
2000-03-02,67.65846252441406,96.25,97.875,94.125,95.25,1819200
2000-03-03,72.05184173583984,102.5,102.5,96.75,97.0,2295900
2000-03-06,72.8866195678711,103.6875,105.25,102.375,102.75,1421000
2000-03-07,73.72135162353516,104.875,105.75,102.4375,103.9375,1041300
2000-03-08,71.52464294433594,101.75,105.375,99.6875,105.0,1041100
2000-03-09,75.34693908691406,107.1875,108.1875,101.25,101.75,535500
2000-03-10,78.90557861328125,112.25,119.0,108.5,109.75,2034400
2000-03-13,77.58756256103516,110.375,115.5,106.5,107.5,1454200
2000-03-14,73.63351440429688,104.75,112.875,103.5,111.5,653100
2000-03-15,72.7987289428711,103.5625,105.5,101.375,102.5,700300
2000-03-16,72.62305450439453,103.3125,105.0,99.25,103.875,2024800
2000-03-17,81.89311218261719,116.5,117.375,103.25,104.125,2099400
2000-03-20,79.74034118652344,113.4375,123.0,112.5625,117.625,2254000
2000-03-21,83.12328338623047,118.25,119.8125,106.5,111.0,2692800
2000-03-22,82.35440826416016,117.15625,117.9375,114.8125,114.875,1258900
2000-03-23,83.65045928955078,119.0,119.0,115.125,116.5,1656900
2000-03-24,85.2760009765625,121.3125,128.0,117.6875,119.0,1934400
2000-03-27,78.7298583984375,112.0,119.375,111.75,118.25,1315000
2000-03-28,79.60856628417969,113.25,115.5,108.5,109.5,1649400
2000-03-29,80.26750946044922,114.1875,116.125,110.75,114.0,754300
2000-03-30,75.12727355957031,106.875,115.0,105.125,112.625,1241200
2000-03-31,73.98497772216797,105.25,111.875,103.3125,108.0,1693300
2000-04-03,74.16069793701172,105.5,110.8125,105.5,108.75,1789500
2000-04-04,69.0643539428711,98.25,106.25,91.125,106.0,3739600
2000-04-05,68.4931869506836,97.4375,99.625,93.5,97.5,3238700
2000-04-06,74.51216888427734,106.0,106.0,100.0,101.0,1675700
2000-04-07,72.05184173583984,102.5,107.25,101.1875,106.25,1373500
2000-04-10,75.25907135009766,107.0625,109.125,103.5625,104.0,1749900
2000-04-11,73.67742919921875,104.8125,108.3125,104.3125,107.125,1147200
2000-04-12,67.8781509399414,96.5625,107.25,96.5,106.5,2598500
2000-04-13,66.95549011230469,95.25,98.125,92.3125,96.75,3377700
2000-04-14,58.16872024536133,82.75,92.75,79.4375,92.75,4855800
2000-04-17,61.50771713256836,87.5,87.75,81.0,81.75,3489600
2000-04-18,65.90108489990234,93.75,94.9375,86.875,87.5,2191500
2000-04-19,64.79781341552734,92.0625,93.5,89.625,93.4375,1390200
2000-04-20,62.510311126708984,88.8125,91.8125,88.0,91.8125,1061100
2000-04-24,61.14662170410156,86.875,91.5,84.625,88.8125,1764300
2000-04-25,68.31702423095703,97.0625,97.875,87.5,88.625,1341500
2000-04-26,66.5134506225586,94.5,99.125,94.0,97.5625,1626100
2000-04-27,66.99734497070312,95.1875,96.25,90.375,91.5,1772400
2000-04-28,65.63365173339844,93.25,97.5,90.875,96.25,1145600
2000-05-01,68.2730484008789,97.0,101.625,93.25,93.25,2319300
2000-05-02,65.45765686035156,93.0,97.625,92.5,95.0,1666500
2000-05-03,64.13798522949219,91.125,95.75,89.6875,92.25,1931000
2000-05-04,63.478126525878906,90.1875,92.0,88.125,91.375,920700
2000-05-05,63.25815963745117,89.875,92.1875,87.4375,89.375,1378100
2000-05-08,61.454551696777344,87.3125,87.875,85.75,86.0,2817000
2000-05-09,60.26680374145508,85.625,87.0,84.75,86.0,1739100
